# fps: 10.000000
# x,y,z,qx,qy,qz,qw
-0.187908,0.708476,0.898119,0.361564,-0.464386,0.680526,0.436464
-0.176073,0.704158,0.913046,0.377433,-0.456458,0.665182,0.454669
-0.166911,0.705764,0.926618,0.393702,-0.446747,0.648284,0.474493
-0.146778,0.707989,0.937503,0.409271,-0.436195,0.63006,0.495233
-0.11851,0.711969,0.931684,0.423372,-0.425358,0.611877,0.515202
-0.124123,0.711109,0.926662,0.437767,-0.413982,0.593832,0.533238
-0.119037,0.722414,0.92373,0.451436,-0.402181,0.57447,0.551761
-0.0978255,0.73454,0.928194,0.466303,-0.389091,0.55463,0.56882
-0.104228,0.723066,0.942317,0.479566,-0.376194,0.534305,0.585673
-0.0949801,0.713913,0.959554,0.49233,-0.363136,0.514211,0.601108
-0.086095,0.714349,0.968379,0.504466,-0.350525,0.494514,0.614901
-0.082376,0.712559,0.973586,0.516712,-0.337019,0.47273,0.629248
-0.0568679,0.698561,0.985403,0.527569,-0.323781,0.449975,0.643708
-0.032586,0.710008,0.989299,0.537827,-0.309545,0.428602,0.656677
-0.0220477,0.713438,0.991971,0.548258,-0.295971,0.40649,0.668267
-0.0126471,0.701051,1.00123,0.558608,-0.279749,0.384278,0.679726
-0.0034785,0.699068,1.01962,0.568674,-0.264113,0.362176,0.689698
0.00661769,0.704931,1.0282,0.579258,-0.248602,0.338122,0.698806
0.023511,0.694926,1.01833,0.588076,-0.234359,0.313395,0.707832
0.0370363,0.676539,1.01636,0.596456,-0.219199,0.289057,0.715987
0.0363224,0.681369,1.04735,0.602929,-0.202299,0.264941,0.724816
0.071531,0.671137,1.03215,0.609267,-0.186963,0.240197,0.732219
0.0916516,0.674353,1.02096,0.615415,-0.170115,0.21497,0.738995
0.0926923,0.660897,1.01973,0.621544,-0.154228,0.189991,0.744178
0.10488,0.654917,1.01163,0.62649,-0.138085,0.165773,0.748974
